kmL driver car
10.7561432 A one
10.7136288 A one
12.2866616 A two
12.75432 A two
10.5435712 A three
10.6711144 A three
12.0740896 A four
11.8615176 A four
11.5214024 A five
11.3088304 A five
14.2848384 B one
13.9872376 B one
15.6027848 B two
15.517756 B two
13.4770648 B three
13.5620936 B three
15.1351264 B four
14.88004 B four
14.3273528 B five
14.4123816 B five
11.7764888 C one
12.116604 C one
13.0519208 C two
12.9243776 C two
11.4363736 C three
11.1812872 C three
12.6267768 C four
12.8393488 C four
12.4142048 C five
12.2866616 C five
12.4142048 D one
12.4567192 D one
13.7746656 D two
13.7746656 D two
11.7764888 D three
12.2866616 D three
13.5195792 D four
13.0519208 D four
12.8818632 D five
12.7118056 D five
